Material;Adipose;Adipose C1;Adipose C2;Adipose C3;Adipose A1;Adipose A2;Adipose A3;Lung deflat;Lung inflat;Blood;Brain;Prostate;GI tract;Heart;Kidney;Liver;Lymph;Muscle;Ovary;Pancreas;Spleen;Testis;Thyroid;Heart Adult;Breast MG1;Breast MG2;Breast MG3;Cartilage;Red marrow;Spongiosa;Yellow marrow;cortical;cranium;femur;humerus;mandible;ribs 2 & 6;ribs 10;sacrum;Skeleton spongiosa;vertebral C4;vertebral D6 & L3;Adrenal Gland;marrow(1:1);Connective
rho;0.95;0.98;0.96;0.95;0.97;0.95;0.93;1.05;0.26;1.06;1.04;1.04;1.03;1.06;1.05;1.06;1.03;1.05;1.05;1.04;1.06;1.04;1.05;1.05;0.99;1.02;1.06;1.1;1.03;1.18;0.98;1.92;1.61;1.33;1.46;1.68;1.41;1.52;1.29;1.18;1.42;1.33;1.03;1.005;1.12
Zeff;6.38461;6.90172;6.71697;6.50327;6.56567;6.38461;6.18456;7.56524;7.56524;7.5178;7.54241;7.47071;7.41455;7.49687;7.52413;7.54775;7.53583;7.52957;7.53353;7.38957;7.55515;7.50663;7.42;7.49658;6.61563;6.99016;7.31421;7.98278;6.95562;10.0404;6.27239;13.5009;12.5735;11.4513;12.0104;12.7943;11.6183;12.18;10.7851;10.0404;11.6668;11.1249;0;6.614005;0
H;0.114;0.114;0.113;0.115;0.112;0.114;0.116;0.103;0.103;0.102;0.107;0.105;0.106;0.103;0.103;0.102;0.108;0.102;0.105;0.106;0.103;0.106;0.104;0.104;0.109;0.106;0.1;0.096;0.105;0.085;0.115;0.034;0.05;0.07;0.06;0.046;0.064;0.056;0.074;0.085;0.063;0.07;0.106;0.11;0.094
He;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Li;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Be;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C;0.598;0.347;0.445;0.543;0.517;0.598;0.681;0.105;0.105;0.11;0.145;0.089;0.115;0.121;0.132;0.139;0.041;0.143;0.093;0.169;0.113;0.099;0.119;0.139;0.506;0.332;0.158;0.099;0.414;0.404;0.644;0.155;0.212;0.345;0.314;0.199;0.263;0.235;0.302;0.404;0.261;0.287;0.284;0.529;0.207
N;0.007;0.008;0.006;0.005;0.013;0.007;0.002;0.031;0.031;0.033;0.022;0.025;0.022;0.032;0.03;0.03;0.011;0.034;0.024;0.022;0.032;0.02;0.024;0.029;0.023;0.003;0.037;0.022;0.034;0.028;0.007;0.042;0.04;0.028;0.031;0.041;0.039;0.04;0.037;0.028;0.039;0.038;0.026;0.0205;0.062
O;0.278;0.53;0.433;0.334;0.355;0.278;0.198;0.749;0.749;0.745;0.712;0.774;0.751;0.734;0.724;0.716;0.832;0.71;0.768;0.694;0.741;0.766;0.745;0.718;0.358;0.527;0.698;0.744;0.439;0.367;0.231;0.435;0.435;0.368;0.369;0.435;0.436;0.434;0.438;0.367;0.436;0.437;0.578;0.335;0.622
F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ne;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Na;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.002;0.002;0.001;0.002;0.002;0.001;0.001;0.002;0.002;0.003;0.001;0.002;0.002;0.001;0.002;0.002;0.001;0.001;0.001;0.001;0.005;0;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0;0.001;0.001;0;0;0.0005;0.022
Mg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0.002;0.002;0.001;0.001;0.002;0.001;0.001;0.001;0.001;0.001;0.001;0;0;0.009
Al;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003
Si;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P;0;0;0;0;0;0;0;0.002;0.002;0.001;0.004;0.001;0.001;0.001;0.002;0.003;0;0.002;0.002;0.002;0.003;0.001;0.001;0.002;0.001;0.001;0.001;0.022;0.001;0.034;0;0.103;0.081;0.055;0.07;0.086;0.06;0.072;0.045;0.034;0.061;0.051;0.001;0.0005;0
S;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.003;0.003;0.002;0.002;0.002;0.001;0.002;0.002;0.003;0.001;0.003;0.002;0.001;0.002;0.002;0.001;0.002;0.001;0.002;0.002;0.009;0.002;0.002;0.001;0.003;0.003;0.002;0.002;0.003;0.003;0.003;0.002;0.002;0.003;0.002;0;0.0015;0.005
Cl;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.003;0.003;0.003;0.003;0;0.002;0.003;0.002;0.002;0.004;0.001;0.002;0.002;0.002;0.002;0.002;0.002;0.001;0.001;0.001;0.003;0.002;0.002;0.001;0;0;0.001;0;0;0.001;0.001;0.001;0.002;0.001;0.001;0;0.0015;0
Ar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
K;0;0;0;0;0;0;0;0.002;0.002;0.002;0.003;0.002;0.001;0.002;0.002;0.003;0;0.004;0.002;0.002;0.003;0.002;0.001;0.003;0;0;0;0;0.002;0.001;0;0;0;0;0;0;0.001;0.001;0.001;0.001;0.001;0.001;0;0.001;0
Ca;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.074;0;0.225;0.176;0.129;0.152;0.187;0.131;0.156;0.098;0.074;0.133;0.111;0;0;0
Sc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fe;0;0;0;0;0;0;0;0;0;0.001;0;0;0;0.001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001;0.001;0;0;0;0;0;0;0;0;0.001;0.001;0.001;0.001;0;0.0005;0
